objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean,green_score,low_noise_score,low_complaints_score,urban_quality_index,urban_quality_rank,green_rank,noise_rank,complaints_rank,cluster,cluster_label
63,003,LA CREU COBERTA,093,9,63,LA CREU COBERTA,5,11467.467284729224,432,Servicios de limpieza en la vía pública,89,432,2.875,5,281800.5044299172,2.436028419601353,3.0400258476263597,60.77430561180521,84.7672778561354,44.878485379432725,30,67,19,29,3,Low-green comfort areas
65,004,LA FONTETA S.LLUIS,104,10,65,LA FONTETA S.LLUIS,6,20403.17377065902,227,Vía pública reparación de deficiencias,57,227,3.4444444444444446,6,214635.0065616708,2.8225625573078963,5.408881847782852,46.92450370709792,91.99576868829337,43.839634457730526,38,62,48,12,3,Low-green comfort areas
601,005,RAFALELL-VISTABELLA,175,17,601,RAFALELL-VISTABELLA,0,0.0,0,,0,0,3.0,5,1000168.4528007972,2.467565849343937,0.0,59.644296352829954,100.0,47.89328890584899,24,88,21,1,3,Low-green comfort areas
105,002,CAMI DE VERA,142,14,105,CAMI DE VERA,12,29651.77391692212,390,Servicios prestados en vía pública,93,390,3.3076923076923075,6,826715.6717056254,2.3675938896894086,7.860685964672872,63.22636505562533,86.24823695345557,47.986654988593415,23,51,16,25,3,Low-green comfort areas
153,001,BENIMAMET,181,18,153,BENIMAMET,12,81049.62404361769,902,Vía pública reparación de deficiencias,213,902,2.875,5,1143319.2034846935,2.2300139941326376,21.486257245408364,68.15595370939184,68.19464033850494,49.49968111253238,21,23,15,59,3,Low-green comfort areas
121,002,BENIFERRI,182,18,121,BENIFERRI,7,54814.64746366863,224,Servicios de limpieza en la vía pública,41,224,3.636363636363636,6,527142.2246585251,4.132178586658168,14.531364335347574,0.0,92.1015514809591,33.44301117842676,77,37,88,10,3,Low-green comfort areas
266,005,EL PALMAR,195,19,266,EL PALMAR,2,2171.7552075243784,75,Servicios prestados en vía pública,12,75,3.0,5,1992671.4631050443,1.4554434590337724,0.5757323567326099,95.90938458614104,97.35543018335684,58.20973737354241,8,83,3,6,0,Quiet low-complaint areas
267,004,EL SALER,194,19,267,EL SALER,3,5721.234893430282,290,Servicios prestados en vía pública,82,290,2.888888888888889,5,3346304.5717179105,1.689834007720313,1.516699505175923,87.51099916304344,89.77433004231312,53.792278563677336,17,76,10,16,0,Quiet low-complaint areas
265,006,EL PERELLONET,196,19,265,EL PERELLONET,4,10724.282223665385,444,Servicios prestados en vía pública,107,444,2.7142857142857144,5,1588273.1723647143,1.662249233287117,2.8430074704113255,88.49938188068026,84.3441466854725,52.99026155801036,18,68,9,30,0,Quiet low-complaint areas
185,002,CIUTAT FALLERA,162,16,185,CIUTAT FALLERA,9,101404.10292201117,417,Servicios de limpieza en la vía pública,78,417,3.888888888888889,6,484157.6671391423,2.955841033241202,26.882230076103212,42.14903807606748,85.29619181946404,48.98646099910074,22,14,63,27,3,Low-green comfort areas
