objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean
63,003,LA CREU COBERTA,093,9,63,LA CREU COBERTA,5,11467.467284729224,432,Servicios de limpieza en la vía pública,89,432,2.875,5,281800.5044299172,2.4360284196013535
65,004,LA FONTETA S.LLUIS,104,10,65,LA FONTETA S.LLUIS,6,20403.17377065902,227,Vía pública reparación de deficiencias,57,227,3.4444444444444446,6,214635.0065616708,2.8225625573078963
601,005,RAFALELL-VISTABELLA,175,17,601,RAFALELL-VISTABELLA,0,0.0,0,,0,0,3.0,5,1000168.4528007973,2.467565849343937
105,002,CAMI DE VERA,142,14,105,CAMI DE VERA,12,29651.77391692212,390,Servicios prestados en vía pública,93,390,3.3076923076923075,6,826715.6717056254,2.3675938896894086
153,001,BENIMAMET,181,18,153,BENIMAMET,12,81049.62404361769,902,Vía pública reparación de deficiencias,213,902,2.875,5,1143319.2034846935,2.2300139941326376
121,002,BENIFERRI,182,18,121,BENIFERRI,7,54814.64746366863,224,Servicios de limpieza en la vía pública,41,224,3.6363636363636362,6,527142.2246585251,4.132178586658168
266,005,EL PALMAR,195,19,266,EL PALMAR,2,2171.7552075243784,75,Servicios prestados en vía pública,12,75,3.0,5,1992671.4631050443,1.4554434590337724
267,004,EL SALER,194,19,267,EL SALER,3,5721.234893430282,290,Servicios prestados en vía pública,82,290,2.888888888888889,5,3346304.5717179105,1.6898340077203127
265,006,EL PERELLONET,196,19,265,EL PERELLONET,4,10724.282223665385,444,Servicios prestados en vía pública,107,444,2.7142857142857144,5,1588273.1723647143,1.662249233287117
185,002,CIUTAT FALLERA,162,16,185,CIUTAT FALLERA,9,101404.10292201117,417,Servicios de limpieza en la vía pública,78,417,3.888888888888889,6,484157.6671391423,2.955841033241202
617,003,CARPESA,173,17,617,CARPESA,4,2504.5646010613536,84,Vía pública reparación de deficiencias,27,84,2.5,4,440009.21336034674,1.360422803945502
618,007,BORBOTO,177,17,618,BORBOTO,3,4477.770367880149,43,Vía pública reparación de deficiencias,12,43,2.6,4,456649.0962599671,1.3412784686198909
5,001,BENIFARAIG,171,17,5,BENIFARAIG,4,2578.3829745333996,85,Vía pública reparación de deficiencias,38,85,2.7142857142857144,4,628667.996575758,1.493145155834831
